grant_name,organization,domain,location,startup_stage,funding_min,funding_max,deadline,eligibility,required_documents,description,application_url
DEMO - AI Innovation Grant,DEMO Funding Foundation,AI,India,Seed,1000000,5000000,2026-12-31,India-based AI startups at seed stage with a working prototype.,"Pitch deck, startup profile, prototype details, budget plan",Demo grant for AI startups developing practical solutions using machine learning or generative AI.,https://example.com/demo-ai-grant
DEMO - HealthTech Innovation Fund,DEMO Health Innovation Council,HealthTech,India,"Seed, Early Stage",2000000,10000000,2027-01-15,HealthTech startups addressing measurable healthcare problems with a scalable solution.,"Business plan, pitch deck, product description, financial projection",Demo funding opportunity for startups building technology-enabled healthcare solutions.,https://example.com/demo-healthtech-grant
DEMO - CleanTech Startup Grant,DEMO Green Innovation Fund,CleanTech,"India, Global","Early Stage, Growth",1500000,7500000,2027-02-28,"Startups developing solutions for renewable energy, waste reduction, sustainability, or climate action.","Project proposal, impact plan, company profile, funding requirement",Demo grant supporting technology startups focused on environmental sustainability and climate solutions.,https://example.com/demo-cleantech-grant
DEMO - FinTech Growth Grant,DEMO Digital Finance Foundation,FinTech,India,"Seed, Early Stage",1000000,6000000,2027-03-15,"FinTech startups building secure and scalable solutions for digital payments, lending, or financial inclusion.","Pitch deck, product overview, security plan, financial projections",Demo funding program for startups using technology to improve financial services and inclusion.,https://example.com/demo-fintech-grant
DEMO - EdTech Innovation Grant,DEMO Education Technology Fund,EdTech,India,"Pre-Seed, Seed",500000,3000000,2027-04-10,"Early-stage EdTech startups creating measurable improvements in learning, assessment, or accessibility.","Product demo, pitch deck, impact metrics, implementation plan","Demo grant for innovative education technology products serving students, teachers, or institutions.",https://example.com/demo-edtech-grant
DEMO - AgriTech Innovation Fund,DEMO Agri Innovation Foundation,AgriTech,India,"Seed, Early Stage",1000000,8000000,2027-05-20,"AgriTech startups improving farming productivity, supply chains, irrigation, or farmer access to markets.","Business plan, technology description, pilot results, budget",Demo funding for technology solutions addressing agricultural productivity and rural challenges.,https://example.com/demo-agritech-grant
DEMO - Cybersecurity Startup Grant,DEMO Cyber Innovation Fund,Cybersecurity,Global,"Seed, Early Stage, Growth",2000000,12000000,2027-06-30,"Cybersecurity startups developing products for threat detection, data protection, privacy, or secure infrastructure.","Technical proposal, security architecture, pitch deck, financial plan",Demo grant supporting startups developing innovative cybersecurity technologies.,https://example.com/demo-cybersecurity-grant
DEMO - SaaS Startup Accelerator Grant,DEMO Digital Business Fund,SaaS,"India, Global","Pre-Seed, Seed",750000,4000000,2027-07-15,Technology startups with a scalable SaaS product and a clear customer problem.,"Pitch deck, product roadmap, traction metrics, financial projection",Demo grant for SaaS startups building scalable software products for business or consumers.,https://example.com/demo-saas-grant
DEMO - DeepTech Research Grant,DEMO Deep Technology Foundation,DeepTech,India,"Pre-Seed, Seed, Early Stage",3000000,15000000,2027-08-31,"DeepTech startups with strong technical innovation, research potential, and a defined commercialization pathway.","Technical proposal, research summary, commercialization plan, budget",Demo funding opportunity for advanced technology startups with significant research and innovation components.,https://example.com/demo-deeptech-grant
DEMO - Social Impact Startup Grant,DEMO Social Innovation Foundation,Social Impact,India,"Pre-Seed, Seed, Early Stage",500000,5000000,2027-09-30,"Startups using technology to address education, healthcare, livelihood, accessibility, or community challenges.","Impact proposal, startup profile, pitch deck, budget plan",Demo grant supporting technology-led startups that can demonstrate measurable social impact.,https://example.com/demo-social-impact-grant
